2025-11-29 12:12:45.079 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-11-29 12:12:45.114 [main] INFO  org.example.MyProjectBackendApplication - Starting MyProjectBackendApplication using Java 17.0.17 with PID 26764 (D:\javaWorkSpace\--LightplaceBlog--\my-project-backend\target\classes started by xiesonglin in D:\javaWorkSpace\--LightplaceBlog--)
2025-11-29 12:12:45.114 [main] INFO  org.example.MyProjectBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-29 12:12:46.587 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-11-29 12:12:46.590 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-11-29 12:12:46.619 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-11-29 12:12:47.145 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-29 12:12:47.160 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-29 12:12:47.164 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-11-29 12:12:47.166 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-11-29 12:12:47.251 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-29 12:12:47.251 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1958 ms
2025-11-29 12:12:47.539 [main] INFO  org.example.config.InitConfig - 支付宝全局配置开始
2025-11-29 12:12:47.568 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-11-29 12:12:47.581 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-11-29 12:14:44.790 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-11-29 12:14:44.818 [main] INFO  org.example.MyProjectBackendApplication - Starting MyProjectBackendApplication using Java 17.0.17 with PID 18484 (D:\javaWorkSpace\--LightplaceBlog--\my-project-backend\target\classes started by xiesonglin in D:\javaWorkSpace\--LightplaceBlog--)
2025-11-29 12:14:44.819 [main] INFO  org.example.MyProjectBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-29 12:14:45.461 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-11-29 12:14:45.463 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-11-29 12:14:45.485 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-11-29 12:14:45.890 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-29 12:14:45.897 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-29 12:14:45.898 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-11-29 12:14:45.898 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-11-29 12:14:45.943 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-29 12:14:45.944 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 999 ms
2025-11-29 12:14:46.923 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name accountIServiceImpl
2025-11-29 12:14:47.382 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2025-11-29 12:14:47.390 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2025-11-29 12:14:47.391 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2025-11-29 12:14:47.391 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2025-11-29 12:14:47.391 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2025-11-29 12:14:47.392 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
